"nocturnal","elephant_zone","camera_id","species","diurnal"
FALSE,FALSE,"Site 17","Kirk's dik-dik",TRUE
TRUE,FALSE,"Site 17","Kirk's dik-dik",FALSE
TRUE,FALSE,"Site 17","Kirk's dik-dik",FALSE
TRUE,FALSE,"Site 17","Kirk's dik-dik",FALSE
TRUE,FALSE,"Site 17","Kirk's dik-dik",FALSE
TRUE,FALSE,"Site 17","Kirk's dik-dik",FALSE
TRUE,FALSE,"Site 17","Kirk's dik-dik",FALSE
FALSE,FALSE,"Site 17","Kirk's dik-dik",TRUE
FALSE,FALSE,"Site 17","Kirk's dik-dik",TRUE
TRUE,FALSE,"Site 17","Kirk's dik-dik",FALSE
FALSE,FALSE,"Site 17","Kirk's dik-dik",TRUE
TRUE,FALSE,"Site 17","Kirk's dik-dik",FALSE
